id,term,termDesc,courseReferenceNumber,partOfTerm,courseNumber,subject,subjectDescription,sequenceNumber,campusDescription,scheduleTypeDescription,courseTitle,creditHours,maximumEnrollment,enrollment,seatsAvailable,waitCapacity,waitCount,waitAvailable,crossList,crossListCapacity,crossListCount,crossListAvailable,creditHourHigh,creditHourLow,creditHourIndicator,openSection,linkIdentifier,isSectionLinked,subjectCourse,reservedSeatSummary,sectionAttributes,instructionalMethod,instructionalMethodDescription,instructor,meetingBeginTime,meetingBuilding,meetingCampus,creditHourSession,endDate,endTime,friday,hoursAWeek,meetingType,monday,meetingRoom,saturday,startDate,sunday,thursday,tuesday,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276412,202410,Spring 2024,20288,1,2121,ACCT,Accounting,1,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,70,70,0,7,7,0,,,,,,3,,FALSE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Linwood Kearney,1000,Friday,Main Campus or Dubois Campus,3,5/8/2024,1115,FALSE,2.5,Class,FALSE,142,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277009,202410,Spring 2024,20885,1,2121,ACCT,Accounting,3,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,70,70,0,7,7,0,,,,,,3,,FALSE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Linwood Kearney,1130,Friday,Main Campus or Dubois Campus,3,5/8/2024,1245,FALSE,2.5,Class,FALSE,142,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277293,202410,Spring 2024,21169,1,2121,ACCT,Accounting,4,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,70,70,0,7,7,0,,,,,,3,,FALSE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Linwood Kearney,1430,McEniry,Main Campus or Dubois Campus,3,5/8/2024,1545,FALSE,2.5,Class,FALSE,117,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277346,202410,Spring 2024,21222,1,2121,ACCT,Accounting,5,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,70,69,1,7,4,3,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Linwood Kearney,1600,McEniry,Main Campus or Dubois Campus,3,5/8/2024,1715,FALSE,2.5,Class,FALSE,117,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277841,202410,Spring 2024,21717,1,2121,ACCT,Accounting,6,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,70,70,0,7,3,4,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Steven Kanczewski,1430,Friday,Main Campus or Dubois Campus,3,5/8/2024,1545,FALSE,2.5,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276413,202410,Spring 2024,20289,1,2121,ACCT,Accounting,90,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,80,80,0,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Steven Kanczewski,1600,Friday,Main Campus or Dubois Campus,3,5/8/2024,1715,FALSE,2.5,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278690,202410,Spring 2024,22566,1,2121,ACCT,Accounting,91,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,80,32,48,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Steven Kanczewski,1730,Friday,Main Campus or Dubois Campus,3,5/8/2024,2015,FALSE,2.75,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278225,202410,Spring 2024,22101,1,2121,ACCT,Accounting,93,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,80,18,62,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,,1730,McEniry,Main Campus or Dubois Campus,3,5/8/2024,1845,FALSE,2.5,Class,TRUE,117,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283331,202410,Spring 2024,26739,1,2121,ACCT,Accounting,94,Main Campus or Dubois Campus,Lecture,Principles of ACCT I,,80,21,59,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2121,,,TR,Face-to-Face Instruction,Christian Lyles,1730,Rowe,Main Campus or Dubois Campus,3,5/8/2024,2015,FALSE,2.75,Class,FALSE,161,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276414,202410,Spring 2024,20290,1,2122,ACCT,Accounting,1,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,70,70,0,7,2,5,,,,,,3,,TRUE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,Kristin Roland,905,Friday,Main Campus or Dubois Campus,3,5/8/2024,955,TRUE,2.5,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
